Species,Individual,Indiv_Sample,Family,Genus,Leaf toughness,Phenolics,Tannin
Choerospondias axillaris,Site A-Cho axi-N20-1911,7,Anacardiaceae,Choerospondias,0.156904,61.62151098,161.1419962
Choerospondias axillaris,Site A-Cho axi-N20-1911,2,Anacardiaceae,Choerospondias,0.1078715,92.40755932,227.7430375
Choerospondias axillaris,Site A-Cho axi-G34-1510,3,Anacardiaceae,Choerospondias,0.0686455,122.9706459,239.4256406
Choerospondias axillaris,Site A-Cho axi-G34-1510,4,Anacardiaceae,Choerospondias,0.0686455,129.5760267,206.5007486
Choerospondias axillaris,Site A-Cho axi-F27-1701,6,Anacardiaceae,Choerospondias,0.12258125,89.3120075,225.6517219
Choerospondias axillaris,Site A-Cho axi-F27-1701,2,Anacardiaceae,Choerospondias,0.0686455,113.8080661,182.384236
Choerospondias axillaris,Site A-Cho axi-N20-1911,1,Anacardiaceae,Choerospondias,0.1274845,95.72726266,110.318305
Choerospondias axillaris,Site A-Cho axi-G34-1510,2,Anacardiaceae,Choerospondias,0.078452,107.512847,307.7848143
Choerospondias axillaris,Site A-Cho axi-G34-1510,1,Anacardiaceae,Choerospondias,0.10296825,118.3198449,279.607365
Choerospondias axillaris,Site A-Cho axi-N20-1911,5,Anacardiaceae,Choerospondias,0.137291,94.01918327,169.6667696
