county,name_of_the_aquaculture_production_business_farm,address_or_location_of_the_farm,column_d,longitude_decimal_degrees,latitude_decimal_degrees,no_susceptible_or_vector_species_present,susceptible_species_present,vector_species_present,no_susceptible_or_vector_species_present_2,susceptible_species_present_2,vector_species_present_2,no_susceptible_or_vector_species_present_3,susceptible_species_present_3,vector_species_present_3,no_susceptible_or_vector_species_present_4,susceptible_species_present_4,vector_species_present_4,declared_disease_free,under_surveillance_programme,not_known_to_be_infected,other,declared_disease_free_2,under_surveillance_programme_2,not_known_to_be_infected_2,other_2,declared_disease_free_3,under_surveillance_programme_3,not_known_to_be_infected_3,other_3,declared_disease_free_4,under_surveillance_programme_4,not_known_to_be_infected_4,other_4,declared_disease_free_5,under_surveillance_programme_5,not_known_to_be_infected_5,other_5,declared_disease_free_6,under_surveillance_programme_6,not_known_to_be_infected_6,other_6,declared_disease_free_7,under_surveillance_programme_7,not_known_to_be_infected_7,other_7,declared_disease_free_8,under_surveillance_programme_8,not_known_to_be_infected_8,other_8,saltwater_cages_enclosures_pens,saltwater_ponds,saltwater_tanks_raceways,saltwater_closed_recirculation,freshwater_cages_enclosures_pens,freshwater_ponds,freshwater_tanks_raceways,freshwater_closed_recirculation,research_facility,quarantine_facility,other_9,hatchery,nursery,brood_stock,grow_out_for_human_consumption,put_take_fisheries,other_10
Galway,Stofnfiskur Ireland Ltd.,"Bunatober, Corrandulla, Co. Galway",087 - FHA,-9.01271,53.42549,,a,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,,,,,,,a,a,a,,,a,a,a,a,,
Galway,Bradan Beo Teoranta,"Casheen, Lettermullen, Co. Galway",590 - FHA,-9.73573,53.26541,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,a,,,,,,,,,,,,,,a,,
Galway,Derrylea Holdings Ltd.,"Screebe Hatchery, Screebe, Camus, Co. Galway",535 - FHA,-9.54342,53.40766,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,,,,,,,a,,,,,a,,,,,
Galway,Derrylea Holdings Ltd.,"Lough Ahalia, Screebe, Camus, Co. Galway",536 - FHA,-9.56529,53.39289,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,,,,,a,,,,,,,,a,,,,
Galway,Mannin Bay Salmon Co. Ltd,"Rosroe, Renvyle, Co.Galway",544 - FHA,-9.86425,53.62370,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,a,,,,,,,,,,,,,,a,,
Galway,Mannin Bay Salmon Co. Ltd,"Inishdeighil, Renvyle, Co.Galway",545 - FHA,-9.90142,53.63788,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,a,,,,,,,,,,,,,,a,,
Galway,Mannin Bay Salmon Co. Ltd,"Bertraghbuoi Bay Outer (OBB), Letterard, Co. Galway",574 - FHA,-9.54300,53.21700,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,a,,,,,,,,,,,,,,a,,
Galway,Feirmeoiri Bradan Chill Chiarain Teo,"Red Flag, Lettermullen, Co. Galway",593 - FHA,-9.811248474,53.2699047,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,a,,,,,,,,,,,,,,a,,
Kerry,Murphys Irish Seafood Ltd,"St. Killians, Killmackillogue, Co. Kerry",577- FHA,-9.80400,51.77400,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,,,,,,,a,,,,,a,,,,,
Kerry,Marine Harvest Ireland Ltd.,"Deenish, Co. Kerry",042 - FHA,-10.21113,51.73826,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,a,,,,,,,,,,,,,,a,,
