plot_number,PTAG,sample_num,lab_num,depth_lb,pH_H2O,pH_KCl,N_t,C_t,S_t,C_N
M10,p113100,EXPA-S-M10-4,5229,30,4.61,3.75,0.1276945024728775,1.4632377624511719,< 0.05,11.458893954827584
M10,p113100,EXPA-S-M10-5,5230,40,4.65,3.75,0.10144323110580444,0.9350066781044006,< 0.05,9.217043541615867
M10,p113100,EXPA-S-M10-6,5231,50,4.85,3.74,0.0905585065484047,0.7224342823028564,< 0.05,7.977541921108273
L8,p112080,EXPA-S-L8-1,5232,5,5.01,3.71,0.24455326795578003,4.0008087158203125,< 0.05,16.359661636350474
L8,p112080,EXPA-S-L8-2,5233,10,4.93,3.78,0.22498664259910583,3.4757628440856934,< 0.05,15.448751996708568
L8,p112080,EXPA-S-L8-3,5234,20,4.73,3.76,0.15804782509803772,2.1033008098602295,< 0.05,13.30800223638347
L8,p112080,EXPA-S-L8-4,5235,30,4.73,3.69,0.11307012289762497,1.2677404880523682,< 0.05,11.211984700858558
L8,p112080,EXPA-S-L8-5,5236,40,4.82,3.68,0.08637365698814392,0.719438910484314,< 0.05,8.329378835760858
L8,p112080,EXPA-S-L8-6,5237,50,5.03,3.74,0.0720253437757492,0.39622750878334045,< 0.05,5.501223430699535
N11,p114110,EXPA-S-N11-1,5238,5,4.33,3.46,0.2736280858516693,5.601231098175049,< 0.05,20.470234554838104
N11,p114110,EXPA-S-N11-2,5239,10,4.32,3.45,0.14569474756717682,2.154294013977051,< 0.05,14.786353317121131
N11,p114110,EXPA-S-N11-3,5240,20,4.33,3.55,0.10938481241464615,1.2681796550750732,< 0.05,11.593745302298197
N11,p114110,EXPA-S-N11-4,5241,30,4.36,3.57,0.08690514415502548,0.8776232600212097,< 0.05,10.098634189659291
N11,p114110,EXPA-S-N11-5,5242,40,4.46,3.65,0.08202360570430756,0.650980532169342,< 0.05,7.936502261508788
N11,p114110,EXPA-S-N11-6,5243,50,4.57,3.73,0.06904200464487076,0.3195708394050598,< 0.05,4.6286436937749205
S13,p119130,EXPA-S-S13-1,5244,5,4.83,3.79,0.25177693367004395,3.5625200271606445,< 0.05,14.14950915173731
S13,p119130,EXPA-S-S13-2,5245,10,4.79,3.81,0.2556707262992859,3.879500389099121,< 0.05,15.173815341525694
S13,p119130,EXPA-S-S13-3,5246,20,4.73,3.81,0.21203021705150604,2.8231616020202637,< 0.05,13.314902193089138
S13,p119130,EXPA-S-S13-4,5247,30,4.65,3.79,0.15019062161445618,1.9646110534667969,< 0.05,13.08078382224166
S13,p119130,EXPA-S-S13-5,5248,40,4.67,3.79,0.10771194845438004,1.1324622631072998,< 0.05,10.51380352279988
S13,p119130,EXPA-S-S13-6,5249,50,4.89,3.81,0.08826468884944916,0.725438117980957,< 0.05,8.218893959036308
L22,p112220,EXPA-S-L22-1,5250,5,4.45,3.59,0.31254664063453674,6.205080986022949,< 0.05,19.853296050232064
L22,p112220,EXPA-S-L22-2,5251,10,4.48,3.67,0.19425822794437408,3.5140695571899414,< 0.05,18.089681937159423
L22,p112220,EXPA-S-L22-3,5252,20,4.45,3.71,0.12527106702327728,1.8787707090377808,< 0.05,14.997642741309742
L22,p112220,EXPA-S-L22-4,5253,30,4.55,3.78,0.08079443871974945,0.8790302872657776,< 0.05,10.879836548092843
L22,p112220,EXPA-S-L22-5,5254,40,4.77,3.92,0.06508757919073105,0.5417914390563965,< 0.05,8.324037332357133
L22,p112220,EXPA-S-L22-6,5255,50,4.95,3.91,0.0619477704167366,0.39967069029808044,< 0.05,6.4517364807386235
M21,p113210,EXPA-S-M21-1,5256,5,4.95,3.91,0.2959299385547638,4.420375347137451,< 0.05,14.937236052307805
M21,p113210,EXPA-S-M21-2,5257,10,4.95,3.9,0.23378436267375946,3.2952280044555664,< 0.05,14.095160030245388
M21,p113210,EXPA-S-M21-3,5258,20,4.95,3.9,0.19117741286754608,2.376650094985962,< 0.05,12.43164691548882
M21,p113210,EXPA-S-M21-4,5259,30,4.85,3.87,0.1507239192724228,1.779872179031372,< 0.05,11.808823626821829
M21,p113210,EXPA-S-M21-5,5260,40,4.91,3.86,0.11798274517059326,1.1241024732589722,< 0.05,9.52768535461362
M21,p113210,EXPA-S-M21-6,5261,50,5.02,3.9,0.0949176475405693,0.8669858574867249,< 0.05,9.134084966825178
M22,p113220,EXPA-S-M22-1,5262,5,4.91,3.84,0.2881843149662018,4.161433696746826,< 0.05,14.440181094640346
M22,p113220,EXPA-S-M22-2,5263,10,4.8,3.78,0.2501043975353241,3.507295608520508,< 0.05,14.023326431216175
M22,p113220,EXPA-S-M22-3,5264,20,4.84,3.82,0.20245549082756042,2.3911101818084717,< 0.05,11.810547454329493
M22,p113220,EXPA-S-M22-4,5265,30,4.97,3.85,0.14502070844173431,1.6719982624053955,< 0.05,11.529375910318095
M22,p113220,EXPA-S-M22-5,5266,40,5.02,3.86,0.12965285778045654,1.2814360857009888,< 0.05,9.883593062567638
M22,p113220,EXPA-S-M22-6,5267,50,5.05,3.89,0.10222860425710678,0.9056923985481262,< 0.05,8.859481210075934
O20,p115200,EXPA-S-O20-1,5268,5,4.52,3.56,0.2955546975135803,5.973613739013672,< 0.05,20.211533733918042
O20,p115200,EXPA-S-O20-2,5269,10,4.47,3.63,0.1781160533428192,3.0151546001434326,< 0.05,16.928033961880892
O20,p115200,EXPA-S-O20-3,5270,20,4.53,3.69,0.11482284963130951,1.5044918060302734,< 0.05,13.102721373499458
O20,p115200,EXPA-S-O20-4,5271,30,4.65,3.73,0.07958945631980896,0.718712568283081,< 0.05,9.030248496674316
O20,p115200,EXPA-S-O20-5,5272,40,4.83,3.78,0.2115718424320221,2.652296304702759,< 0.05,12.536149774065233
O20,p115200,EXPA-S-O20-6,5273,50,4.82,3.84,0.07686500251293182,0.38051745295524597,< 0.05,4.950464327262949
O22,p115220,EXPA-S-O22-1,5274,5,4.73,3.74,0.2632919251918793,3.656830072402954,< 0.05,13.88888044985795
O22,p115220,EXPA-S-O22-2,5275,10,4.68,3.82,0.07075302302837372,0.49257388710975647,< 0.05,6.961877613515144
O22,p115220,EXPA-S-O22-3,5276,20,4.6,3.79,0.2514502704143524,3.4587597846984863,< 0.05,13.75524384602557
O22,p115220,EXPA-S-O22-4,5277,30,4.6,3.8,0.22421365976333618,2.600843906402588,< 0.05,11.599845919949086
O22,p115220,EXPA-S-O22-5,5278,40,4.61,3.8,0.1307518482208252,1.3637710809707642,< 0.05,10.430224119413653
O22,p115220,EXPA-S-O22-6,5279,50,4.71,3.84,0.11372070014476776,0.9690046310424805,< 0.05,8.520916858662726
K7,p111070,EXPA-S-K7-1,5280,5,4.78,3.9,0.2959013283252716,4.3571648597717285,< 0.05,14.725060155803304
K7,p111070,EXPA-S-K7-2,5281,10,5.09,3.9,0.22915495932102203,2.901064157485962,< 0.05,12.659835798804929
K7,p111070,EXPA-S-K7-3,5282,20,4.9,3.8,0.15738551318645477,1.7090462446212769,< 0.05,10.85898066486315
K7,p111070,EXPA-S-K7-4,5283,30,4.8,3.66,0.12648658454418182,1.2303600311279297,< 0.05,9.727197833365201
K7,p111070,EXPA-S-K7-5,5284,40,4.72,3.61,0.10925383865833282,0.8679598569869995,< 0.05,7.944433510490662
K7,p111070,EXPA-S-K7-6,5285,50,4.86,3.65,0.09236796945333481,0.5774372816085815,< 0.05,6.251488313817577
N25,p114250,EXPA-S-N25-1,5286,5,4.65,3.86,0.286128968000412,3.8481173515319824,< 0.05,13.44889117108353
N25,p114250,EXPA-S-N25-2,5287,10,4.54,3.86,0.22860556840896606,2.976827621459961,< 0.05,13.021675903075717
N25,p114250,EXPA-S-N25-3,5288,20,4.54,3.84,0.16396762430667877,2.2008190155029297,< 0.05,13.422277872286555
N25,p114250,EXPA-S-N25-4,5289,30,4.61,3.89,0.10175597667694092,0.9112461805343628,< 0.05,8.955210399359881
N25,p114250,EXPA-S-N25-5,5290,40,4.73,3.95,0.08195454627275467,0.608889102935791,< 0.05,7.429595191819307
N25,p114250,EXPA-S-N25-6,5291,50,4.78,3.98,0.07491613924503326,0.46965089440345764,< 0.05,6.269021590492521
R16,p118160,EXPA-S-R16-1,5292,5,4.75,3.85,0.2589477002620697,3.7075188159942627,< 0.05,14.31763561615741
R16,p118160,EXPA-S-R16-2,5293,10,4.69,3.85,0.20993009209632874,2.8380672931671143,< 0.05,13.519106597947072
R16,p118160,EXPA-S-R16-3,5294,20,4.52,3.81,0.15718109905719757,1.9185954332351685,< 0.05,12.20627317624875
R16,p118160,EXPA-S-R16-4,5295,30,4.56,3.82,0.12417217344045639,1.3088339567184448,< 0.05,10.54047714922267
R16,p118160,EXPA-S-R16-5,5296,40,4.56,3.82,0.11394795030355453,1.2267662286758423,< 0.05,10.766022779767141
R16,p118160,EXPA-S-R16-6,5297,50,4.62,3.83,0.09692173451185226,1.0404056310653687,< 0.05,10.734492488247211
N26,p114260,EXPA-S-N26-1,5298,5,4.72,3.85,0.25466209650039673,3.348304033279419,< 0.05,13.14802665686137
N26,p114260,EXPA-S-N26-2,5299,10,4.65,3.85,0.20801851153373718,2.6897029876708984,< 0.05,12.930113612675633
N26,p114260,EXPA-S-N26-3,5300,20,4.6,3.9,0.15952791273593903,1.804760217666626,< 0.05,11.313131267842653
N26,p114260,EXPA-S-N26-4,5301,30,4.69,3.91,0.11876079440116882,1.1457160711288452,< 0.05,9.647258397907528
N26,p114260,EXPA-S-N26-5,5302,40,4.77,3.93,0.09694492071866989,0.975274920463562,< 0.05,10.060093022240629
