CSP,no,horizon_depth29,horizon_distinctness30,soil_horizon31,soil_col32,org_matter33,ped_soil_moist36,ped_con37,ped_other38,ped_soil_structure39,ped_soil_size40,ped_voids_porosity41,cutan_feat44,bio_root45,bio_bio_feat46,gen_sub47,hand_text48,rock_artefacts49,coarse_mat50,chargo51,parent_material53,artefact_type54,abundance_size55,stratigraphy56,samp_num_dist60,samp_num_undist61
CSP10,5,,,,,,,,,,,,,,,,,,,,,,,,,
CSP10,6,,,,,,,,,,,,,,,,,,,,,,,,,
CSP10,7,,,,,,,,,,,,,,,,,,,,,,,,,
CSP10,8,,,,,,,,,,,,,,,,,,,,,,,,,
CSP11,1,-20,"e,de",Ah-Al,10YR 3/4,h5,21.3,FR,Vw,kru,FI,gri2f3   gri3f4,,Wf3   Wg3,"F,BO",uhg,Uu,fGr1,1,,Lhg,,,q,11-1-1,LD11-1-1
CSP11,2,-30,"e,de",Ah-Btv,10YR 4/4,h4,20.8,FR,Vw,sub,ME,gri2f3   gri3f2,"C,CH,NS",Wf3   Wg3,"F,BO",uhg,Ut3,fGr1,1,,Lhg,,,q,11-1-2,LD11-1-2
CSP11,3,-47,"e,sc",Btv,10YR 5/6,h4,23.1,VFR,Vw,sub,FI,gri3f3   gri2f2,"C,CH,NS,VO",Wf2    Wg2,"F,BO",uhg,Ut4,fGr1,2,,Lhg,,,q,11-1-3,LD11-1-3
CSP11,4,-143,sc,II Bv+ilCv,"7,5YR 5/6",h3,22,FR,,sub,ME,gri3f3   gri2f3,,Wg0   Wf0,,uhg,Ut4,mX5,60,,Xhg,,,"q,t",11-1-4,
CSP11,5,-159+,,II ilCv,"2,5YR 6/4",h0,,,,,,,,Wg0   Wf0,,uhg,,,,,Xhg,,,"q,t",,
CSP11,6,,,,,,,,,,,,,,,,,,,,,,,,,
CSP11,7,,,,,,,,,,,,,,,,,,,,,,,,,
CSP11,8,,,,,,,,,,,,,,,,,,,,,,,,,
CSP12,1,-5,e,Ah,10 YR 3/2,h5,21.6,ko2,,kru-sub,h,"f3, gri3",,"Wf6, Wg4",,uhg1,Ut4,,0,,Tuk,,,qh,,
CSP12,2,-10,w,Ah+Bv,10 YR 5/4,h3,27.5,ko3,,koh-sub,h,"f2, gri2",,"Wf3, Wg3",,uhg1,Ut4,,0,,Tuk,,,qh,,
CSP12,3,-30,e,Bv,10 YR 6/6,h1,22.7,ko4,Vw,sub-ei,h,"f2, gri3",,"Wf2, Wg2",,uhg1,Tl,,0,,Tuk,Bvh,,qh,,
