rownr,date,Date,start,end,plotignore,CSP,working condition,protoc.first,protoc.sur,meas.first,meas.sur,entered.first,entered.sur,entered.date,page,Central_subplot,CWD-Id,CWD_CSP_original,Idaddon,CWD_CSP,Species,specunpolished,TagAFCW,TagMBa,TagAFCW original,TagMBa original,DBH,dbh.comment,dbhpostmean,dbhpostsd,stemsGrEq10,stemsCnSm10,height,BD,lookup tag,dbase.remark.kn,dtop,dtop.remark.kn,length,len.rem.kn,height_length,hei.len.rem.kn,broken at,broken diam,neigh.label,reference is self,neigh.dist,neigh.azimut,direction CWD,pos.cw,pos.af_original,plot estimate,pos.af,alive,sc,mc,dc,ter,rot,fungi,valid,crown_origin,remark,vol_factor,Allometrie,comment Karin,meandbh,meanGr10,meanSm10Cn,ice_storm_representative
829,2009-01-14 00:00:00,,1899-12-30 10:30:00,1899-12-30 14:30:00,,CSP10,"very cold, all frozen- on the other side of the valley sunny",Anja,Fankhaenel,Tiemo,Kahl,Anja,Fankhaenel,2009-02-02 00:00:00,3,c,32,CSP10_32,2,CSP10_32,Alniphyllum fortunei,Alniphyllum fortunei,,,,no tag,,,,,,,,6.2,,,3.5,,,,1.15,,,,no tag,,nn,nn,310,,9,,9,d,40,5,2,,,,,,-,,,,,,,no
830,2009-01-14 00:00:00,,1899-12-30 10:30:00,1899-12-30 14:30:00,,CSP10,"very cold, all frozen- on the other side of the valley sunny",Anja,Fankhaenel,Tiemo,Kahl,Anja,Fankhaenel,2009-02-02 00:00:00,3,c,32,CSP10_32,3,CSP10_32,Alniphyllum fortunei,Alniphyllum fortunei,,,,no tag,,,,,,,,4.5,,,4.4,,,,1,,,,no tag,,nn,nn,15,,9,,9,d,80,5,2,,,,,,-,,,,,,,no
831,2009-01-14 00:00:00,,1899-12-30 10:30:00,1899-12-30 14:30:00,,CSP10,"very cold, all frozen- on the other side of the valley sunny",Anja,Fankhaenel,Tiemo,Kahl,Anja,Fankhaenel,2009-02-02 00:00:00,3,c,32,CSP10_32,4,CSP10_32,Alniphyllum fortunei,Alniphyllum fortunei,,,,no tag,,,,,,,,4.8,,,4.4,,,,1.15,,,,no tag,,nn,nn,40,,9,,9,d,5,5,2,,,,,,-,,,,,,,no
832,2009-01-14 00:00:00,,1899-12-30 10:30:00,1899-12-30 14:30:00,,CSP10,"very cold, all frozen- on the other side of the valley sunny",Anja,Fankhaenel,Tiemo,Kahl,Anja,Fankhaenel,2009-02-02 00:00:00,3,c,32,CSP10_32,5,CSP10_32,Alniphyllum fortunei,Alniphyllum fortunei,,,,no tag,,,,,,,,8.5,,,8,,,,1,,,,no tag,,nn,nn,50,,9,,9,d,5,5,3,Insects,,,,,Insects,,,,,,,no
833,2009-01-14 00:00:00,,1899-12-30 10:30:00,1899-12-30 14:30:00,,CSP10,"very cold, all frozen- on the other side of the valley sunny",Anja,Fankhaenel,Tiemo,Kahl,Anja,Fankhaenel,2009-02-02 00:00:00,3,c,32,CSP10_32,6,CSP10_32,Alniphyllum fortunei,Alniphyllum fortunei,,,,no tag,,,,,,,,8,,,5,,,,0.65,,,,no tag,,nn,nn,235,,9,,9,d,100,5,3,Insects,,,,,Insects,,,,,,,no
834,2009-01-14 00:00:00,,1899-12-30 10:30:00,1899-12-30 14:30:00,,CSP10,"very cold, all frozen- on the other side of the valley sunny",Anja,Fankhaenel,Tiemo,Kahl,Anja,Fankhaenel,2009-02-02 00:00:00,3,c,33,CSP10_33,1,CSP10_33,Lithocarpus glaber,Lithocarpus glaber,,379166,,379166,,,,,,,,10,,,5.6,,,,1.8,,,,376687,,1.3,217,80,,9,,9,d,10,5,3,Insects,,,,,Insects,,,,,,,no
835,2009-01-14 00:00:00,,1899-12-30 10:30:00,1899-12-30 14:30:00,,CSP10,"very cold, all frozen- on the other side of the valley sunny",Anja,Fankhaenel,Tiemo,Kahl,Anja,Fankhaenel,2009-02-02 00:00:00,3,c,33,CSP10_33,2,CSP10_33,Lithocarpus glaber,Lithocarpus glaber,,,,no tag,,,,,,,,10,,,8,,,,0.9,,,,no tag,,nn,nn,60,,9,,9,d,90,5,3,Insects,,,,,Insects,,,,,,,no
836,2009-01-14 00:00:00,,1899-12-30 10:30:00,1899-12-30 14:30:00,,CSP10,"very cold, all frozen- on the other side of the valley sunny",Anja,Fankhaenel,Tiemo,Kahl,Anja,Fankhaenel,2009-02-02 00:00:00,3,c,33,CSP10_33,3,CSP10_33,Lithocarpus glaber,Lithocarpus glaber,,,,no tag,,,,,,,,6,,,3,,,,1.6,,,,no tag,,nn,nn,30,,9,,9,d,20,5,2,,,,,,-,,,,,,,no
837,2009-01-14 00:00:00,,1899-12-30 10:30:00,1899-12-30 14:30:00,,CSP10,"very cold, all frozen- on the other side of the valley sunny",Anja,Fankhaenel,Tiemo,Kahl,Anja,Fankhaenel,2009-02-02 00:00:00,3,c,33,CSP10_33,4,CSP10_33,Lithocarpus glaber,Lithocarpus glaber,,,,no tag,,,,,,,,9.5,,,8.2,,,,0.7,,,,no tag,,nn,nn,160,,9,,9,d,30,5,3,,,,,,-,,,,,,,no
838,2009-01-14 00:00:00,,1899-12-30 10:30:00,1899-12-30 14:30:00,,CSP10,"very cold, all frozen- on the other side of the valley sunny",Anja,Fankhaenel,Tiemo,Kahl,Anja,Fankhaenel,2009-02-02 00:00:00,3,c,33,CSP10_33,5,CSP10_33,Lithocarpus glaber,Lithocarpus glaber,,,,no tag,,,,,,,,9,,,7,,,,1.2,,,,no tag,,nn,nn,230,,9,,9,d,100,5,3,Insects,,,,,insects,,,,,,,no
839,2009-01-14 00:00:00,,1899-12-30 10:30:00,1899-12-30 14:30:00,,CSP10,"very cold, all frozen- on the other side of the valley sunny",Anja,Fankhaenel,Tiemo,Kahl,Anja,Fankhaenel,2009-02-02 00:00:00,3,c,34,CSP10_34,1,CSP10_34,Alniphyllum fortunei,Alniphyllum fortunei,,,,no tag,,,,,,,,9,,,6,,,,0.95,,,,no tag,,nn,nn,80,,9,,9,d,90,5,3,,,,,,-,,,,,,,no
840,2009-01-14 00:00:00,,1899-12-30 10:30:00,1899-12-30 14:30:00,,CSP10,"very cold, all frozen- on the other side of the valley sunny",Anja,Fankhaenel,Tiemo,Kahl,Anja,Fankhaenel,2009-02-02 00:00:00,3,c,34,CSP10_34,2,CSP10_34,Alniphyllum fortunei,Alniphyllum fortunei,,,,no tag,,,,,,,,8.5,,,5,,,,1.3,,,,no tag,,nn,nn,90,,9,,9,d,30,5,3,,,,,,-,,,,,,,no
841,2009-01-14 00:00:00,,1899-12-30 10:30:00,1899-12-30 14:30:00,,CSP10,"very cold, all frozen- on the other side of the valley sunny",Anja,Fankhaenel,Tiemo,Kahl,Anja,Fankhaenel,2009-02-02 00:00:00,3,c,35,CSP10_35,1,CSP10_35,Castanopsis eyrei,Castanopsis eyrei,,,,no tag,,,,,,,,3.6,,,3,,,,0.75,,,,no tag,,nn,nn,330,,9,,9,d,1,5,2,,,,,,-,,,,,,,no
842,2009-01-14 00:00:00,,1899-12-30 10:30:00,1899-12-30 14:30:00,,CSP10,"very cold, all frozen- on the other side of the valley sunny",Anja,Fankhaenel,Tiemo,Kahl,Anja,Fankhaenel,2009-02-02 00:00:00,3,c,36,CSP10_36,1,CSP10_36,Schima superba,Schima superba,,,,no tag,,,,,,,,5,,,4,,,,0.75,,,,no tag,,nn,nn,185,,9,,9,d,100,5,2,,,,,,-,,,,,,,no
843,2009-01-14 00:00:00,,1899-12-30 10:30:00,1899-12-30 14:30:00,,CSP10,"very cold, all frozen- on the other side of the valley sunny",Anja,Fankhaenel,Tiemo,Kahl,Anja,Fankhaenel,2009-02-02 00:00:00,3,c,37,CSP10_37,1,CSP10_37,Schima superba,Schima superba,,,,no tag,,,,,,,,7.7,,,6,,,,0.6,,,,no tag,,nn,nn,350,,9,,9,d,90,5,2,,,,,,-,,,,,,,no
844,2009-01-14 00:00:00,,1899-12-30 10:30:00,1899-12-30 14:30:00,,CSP10,"very cold, all frozen- on the other side of the valley sunny",Anja,Fankhaenel,Tiemo,Kahl,Anja,Fankhaenel,2009-02-02 00:00:00,3,c,38,CSP10_38,1,CSP10_38,Castanopsis eyrei,Castanopsis eyrei,,,,no tag,,,,,,,,5,,,3,,,,1,,,,no tag,,nn,nn,222,,9,,9,d,90,5,3,,,,,,-,,,,,,,no
845,2009-01-14 00:00:00,,1899-12-30 10:30:00,1899-12-30 14:30:00,,CSP10,"very cold, all frozen- on the other side of the valley sunny",Anja,Fankhaenel,Tiemo,Kahl,Anja,Fankhaenel,2009-02-02 00:00:00,3,c,39,CSP10_39,1,CSP10_39,Schima superba,Schima superba,,,,no tag,,,,,,,,5.5,,,5.5,,,,0.4,,,,no tag,,nn,nn,140,,9,,9,d,10,5,2,,,,,,-,,,,,,,no
846,2009-01-14 00:00:00,,1899-12-30 10:30:00,1899-12-30 14:30:00,,CSP10,"very cold, all frozen- on the other side of the valley sunny",Anja,Fankhaenel,Tiemo,Kahl,Anja,Fankhaenel,2009-02-02 00:00:00,4,c,40,CSP10_40,1,CSP10_40,Schima superba,Schima superba,,,,no tag,,,,,,,,9,,,7,,,,0.4,,,,no tag,,nn,nn,50,,9,,9,d,80,5,3,,,,,,-,,,,,,,no
847,2009-01-14 00:00:00,,1899-12-30 10:30:00,1899-12-30 14:30:00,,CSP10,"very cold, all frozen- on the other side of the valley sunny",Anja,Fankhaenel,Tiemo,Kahl,Anja,Fankhaenel,2009-02-02 00:00:00,4,c,41,CSP10_41,1,CSP10_41,Castanopsis eyrei,Castanopsis eyrei,,,,no tag,,,,,,,,6.5,,,4.5,,,,0.45,,,,no tag,,nn,nn,125,,9,,9,d,80,5,2,,,,,,-,,,,,,,no
848,2009-01-14 00:00:00,,1899-12-30 10:30:00,1899-12-30 14:30:00,,CSP10,"very cold, all frozen- on the other side of the valley sunny",Anja,Fankhaenel,Tiemo,Kahl,Anja,Fankhaenel,2009-02-02 00:00:00,4,c,42,CSP10_42,1,CSP10_42,Castanopsis eyrei,Castanopsis eyrei,,,,no tag,,,,,,,,5.7,,,5,,,,0.3,,,,no tag,,nn,nn,150,,9,,9,d,80,5,3,,,,,,-,,,,,,,no
849,2009-01-14 00:00:00,,1899-12-30 10:30:00,1899-12-30 14:30:00,,CSP10,"very cold, all frozen- on the other side of the valley sunny",Anja,Fankhaenel,Tiemo,Kahl,Anja,Fankhaenel,2009-02-02 00:00:00,4,c,43,CSP10_43,1,CSP10_43,Castanopsis eyrei,Castanopsis eyrei,,,,no tag,,,,,,,,5,,,3,,,,1.4,,,,no tag,,nn,nn,285,,9,,9,d,40,1,1,,,,,,-,,,,,,,no
