Samplenr,Seedlingnr,Plot,Record,Date,Planted_Species,Density,Treatment,Dead,Height_P,Height_G,Leaves_Liv,Leaves_Dam,Leaves_Dead,Damage_pro,Biomass_Above,Biomass_Below
6.23.1,6.23,6,1,August_2015,C.sclerophylla,25,Light,0,,3,1,,,,,
6.23.0,6.23,6,0,July_2015,C.sclerophylla,25,Light,0,3.8,,4,,,,,
6.23.2,6.23,6,2,September_2015,C.sclerophylla,25,Light,0,5.5,5.5,2,1,0,20,,
6.24.3,6.24,6,3,September_2016,C.sclerophylla,25,Light,1,,,,,,,,
6.24.1,6.24,6,1,August_2015,C.sclerophylla,25,Light,1,,,,,,,,
6.24.0,6.24,6,0,July_2015,C.sclerophylla,25,Light,0,2.7,,1,,,,,
6.24.2,6.24,6,2,September_2015,C.sclerophylla,25,Light,0,3,3.2,3,0,0,0,,
6.25.0,6.25,6,0,July_2015,C.sclerophylla,25,Light,0,3.1,,4,,,,,
6.25.1,6.25,6,1,August_2015,C.sclerophylla,25,Light,0,,2.1,3,,,,,
6.25.2,6.25,6,2,September_2015,C.sclerophylla,25,Light,0,5.4,5.4,9,6,0,15,,
6.25.3,6.25,6,3,September_2016,C.sclerophylla,25,Light,0,11,,5,5,,12,0.52,0.59
7.01.0,7.01,7,0,July_2015,L.glaber,4,Shadow,0,11,,3,,,,,
7.01.2,7.01,7,2,September_2015,L.glaber,4,Shadow,0,22.1,22.1,5,2,0,10,,
7.01.1,7.01,7,1,August_2015,L.glaber,4,Shadow,0,,12.4,5,,,,,
7.01.3,7.01,7,3,September_2016,L.glaber,4,Shadow,0,25,,11,10,,15,1.22,0.35
7.02.0,7.02,7,0,July_2015,L.glaber,4,Shadow,0,16.3,,5,,,,,
7.02.2,7.02,7,2,September_2015,L.glaber,4,Shadow,0,18,18,5,0,0,5,,
7.02.1,7.02,7,1,August_2015,L.glaber,4,Shadow,0,,16.7,6,,,,,
7.02.3,7.02,7,3,September_2016,L.glaber,4,Shadow,0,21.5,,6,2,,3,0.45,0.19
7.03.0,7.03,7,0,July_2015,L.glaber,4,Shadow,0,16.2,,2,,,,,
7.03.2,7.03,7,2,September_2015,L.glaber,4,Shadow,0,20.5,20.5,9,1,1,0.1,,
7.03.1,7.03,7,1,August_2015,L.glaber,4,Shadow,0,,15.9,2,,,,,
7.03.3,7.03,7,3,September_2016,L.glaber,4,Shadow,0,23,,13,12,,40,1.17,0.42
7.04.0,7.04,7,0,July_2015,L.glaber,4,Shadow,0,16.8,,1,,,,,
7.04.2,7.04,7,2,September_2015,L.glaber,4,Shadow,0,15,15,7,0,0,0.1,,
7.04.3,7.04,7,3,September_2016,L.glaber,4,Shadow,0,26,,11,7,,4,1.29,0.33
7.04.1,7.04,7,1,August_2015,L.glaber,4,Shadow,0,,17,3,,,,,
8.01.0,8.01,8,0,July_2015,D.glaucifolia,9,Shadow,0,7.5,,7,,,,,
8.01.2,8.01,8,2,September_2015,D.glaucifolia,9,Shadow,1,0,,0,0,0,,,
8.01.1,8.01,8,1,August_2015,D.glaucifolia,9,Shadow,0,,14.2,10,,,,,
8.01.3,8.01,8,3,September_2016,D.glaucifolia,9,Shadow,1,,,,,,,,
8.02.0,8.02,8,0,July_2015,D.glaucifolia,9,Shadow,0,6.4,,7,,,,,
8.02.2,8.02,8,2,September_2015,D.glaucifolia,9,Shadow,0,30.3,30.3,15,11,0,2,,
8.02.1,8.02,8,1,August_2015,D.glaucifolia,9,Shadow,0,,14.3,12,,,,,
8.02.3,8.02,8,3,September_2016,D.glaucifolia,9,Shadow,0,59,,19,19,,15,4.91,2.19
8.03.0,8.03,8,0,July_2015,D.glaucifolia,9,Shadow,0,9.2,,8,,,,,
8.03.2,8.03,8,2,September_2015,D.glaucifolia,9,Shadow,0,10.5,10.5,4,4,0,10,,
8.03.1,8.03,8,1,August_2015,D.glaucifolia,9,Shadow,0,,19.9,15,,,,,
8.03.3,8.03,8,3,September_2016,D.glaucifolia,9,Shadow,0,14,,4,4,,45,0.25,0.19
8.04.0,8.04,8,0,July_2015,D.glaucifolia,9,Shadow,0,7.9,,6,,,,,
8.04.2,8.04,8,2,September_2015,D.glaucifolia,9,Shadow,0,24.4,24.4,12,11,0,3,,
8.04.3,8.04,8,3,September_2016,D.glaucifolia,9,Shadow,0,64.5,,21,20,,35,4.44,1.99
8.04.1,8.04,8,1,August_2015,D.glaucifolia,9,Shadow,0,,12.5,10,,,,,
8.05.0,8.05,8,0,July_2015,D.glaucifolia,9,Shadow,0,5.8,,6,,,,,
8.05.2,8.05,8,2,September_2015,D.glaucifolia,9,Shadow,0,17,17,11,11,0,0.1,,
8.05.1,8.05,8,1,August_2015,D.glaucifolia,9,Shadow,0,,11,9,,,,,
8.05.3,8.05,8,3,September_2016,D.glaucifolia,9,Shadow,0,29,,2,2,,35,0.76,0.15
8.06.2,8.06,8,2,September_2015,D.glaucifolia,9,Shadow,0,17,17,13,13,0,0.1,,
8.06.3,8.06,8,3,September_2016,D.glaucifolia,9,Shadow,0,42,,9,9,,25,2.27,0.58
8.06.1,8.06,8,1,August_2015,D.glaucifolia,9,Shadow,0,,14.8,11,,,,,
8.06.0,8.06,8,0,July_2015,D.glaucifolia,9,Shadow,0,8.1,,8,,,,,
8.07.3,8.07,8,3,September_2016,D.glaucifolia,9,Shadow,0,112,,43,43,,5,10.63,2.14
8.07.0,8.07,8,0,July_2015,D.glaucifolia,9,Shadow,0,4.4,,5,,,,,
8.07.1,8.07,8,1,August_2015,D.glaucifolia,9,Shadow,0,,11.1,8,,,,,
8.07.2,8.07,8,2,September_2015,D.glaucifolia,9,Shadow,0,30.1,30.1,18,16,0,0.1,,
8.08.3,8.08,8,3,September_2016,D.glaucifolia,9,Shadow,0,68,,15,14,,20,2.85,1.03
8.08.0,8.08,8,0,July_2015,D.glaucifolia,9,Shadow,0,8.5,,8,,,,,
8.08.2,8.08,8,2,September_2015,D.glaucifolia,9,Shadow,0,20.1,20.1,15,13,0,0.1,,
8.08.1,8.08,8,1,August_2015,D.glaucifolia,9,Shadow,0,,17.2,15,,,,,
8.09.3,8.09,8,3,September_2016,D.glaucifolia,9,Shadow,0,56.5,,13,13,,30,2.17,0.95
8.09.0,8.09,8,0,July_2015,D.glaucifolia,9,Shadow,1,,,,,,,,
8.09.1,8.09,8,1,August_2015,D.glaucifolia,9,Shadow,1,,,,,,,,
8.09.2,8.09,8,2,September_2015,D.glaucifolia,9,Shadow,0,20,20,12,11,0,5,,
9.01.0,9.01,9,0,July_2015,C.glauca,1,Shadow,0,15.6,,4,,,,,
9.01.2,9.01,9,2,September_2015,C.glauca,1,Shadow,1,0,,0,0,5,,,
9.01.3,9.01,9,3,September_2016,C.glauca,1,Shadow,1,,,,,,,,
9.01.1,9.01,9,1,August_2015,C.glauca,1,Shadow,0,,15.2,0,,,,,
11.01.3,11.01,11,3,September_2016,C.glauca,1,Shadow,0,9,,2,1,,25,0.35,0.24
11.01.0,11.01,11,0,July_2015,C.glauca,1,Shadow,0,14,,0,,,,,
11.01.2,11.01,11,2,September_2015,C.glauca,1,Shadow,0,10,12,1,0,3,95,,
11.01.1,11.01,11,1,August_2015,C.glauca,1,Shadow,0,,9.5,1,,,,,
12.01.3,12.01,12,3,September_2016,C.fargesii,9,Shadow,0,64,,53,47,,3,6.48,2.42
12.01.0,12.01,12,0,July_2015,C.fargesii,9,Shadow,0,13.3,,5,,,,,
12.01.2,12.01,12,2,September_2015,C.fargesii,9,Shadow,0,18.5,18.5,13,13,0,5,,
12.01.1,12.01,12,1,August_2015,C.fargesii,9,Shadow,0,,14.4,7,,,,,
12.02.0,12.02,12,0,July_2015,C.fargesii,9,Shadow,0,10.5,,2,,,,,
12.02.3,12.02,12,3,September_2016,C.fargesii,9,Shadow,0,58,,36,35,,8,4.61,1.98
12.02.2,12.02,12,2,September_2015,C.fargesii,9,Shadow,0,30.5,30.5,11,9,0,3,,
12.02.1,12.02,12,1,August_2015,C.fargesii,9,Shadow,0,,11,8,,,,,
12.03.0,12.03,12,0,July_2015,C.fargesii,9,Shadow,0,5.7,,4,,,,,
12.03.2,12.03,12,2,September_2015,C.fargesii,9,Shadow,0,26,26,20,17,0,2,,
12.03.3,12.03,12,3,September_2016,C.fargesii,9,Shadow,0,74,,88,76,,3,8.36,3.93
12.03.1,12.03,12,1,August_2015,C.fargesii,9,Shadow,0,,5.1,5,,,,,
12.04.3,12.04,12,3,September_2016,C.fargesii,9,Shadow,0,18,,5,5,,35,0.93,0.71
12.04.0,12.04,12,0,July_2015,C.fargesii,9,Shadow,0,13.2,,7,,,,,
12.04.2,12.04,12,2,September_2015,C.fargesii,9,Shadow,0,10.5,10.5,8,6,0,20,,
12.04.1,12.04,12,1,August_2015,C.fargesii,9,Shadow,0,,12.6,7,,,,,
12.05.3,12.05,12,3,September_2016,C.fargesii,9,Shadow,0,36.5,,23,21,,15,2.4,1.01
12.05.0,12.05,12,0,July_2015,C.fargesii,9,Shadow,0,6.5,,4,,,,,
12.05.2,12.05,12,2,September_2015,C.fargesii,9,Shadow,0,9.7,9.7,9,5,0,1,,
12.05.1,12.05,12,1,August_2015,C.fargesii,9,Shadow,0,,6.8,5,,,,,
12.06.0,12.06,12,0,July_2015,C.fargesii,9,Shadow,0,4.2,,5,,,,,
12.06.3,12.06,12,3,September_2016,C.fargesii,9,Shadow,0,26,,12,12,,45,1.98,2.43
12.06.2,12.06,12,2,September_2015,C.fargesii,9,Shadow,0,19,19,7,7,0,10,,
12.06.1,12.06,12,1,August_2015,C.fargesii,9,Shadow,0,,6.9,6,,,,,
12.07.0,12.07,12,0,July_2015,C.fargesii,9,Shadow,0,17.4,,11,,,,,
12.07.2,12.07,12,2,September_2015,C.fargesii,9,Shadow,0,10.4,10.4,7,7,0,20,,
12.07.3,12.07,12,3,September_2016,C.fargesii,9,Shadow,0,42,,16,12,,2,2.52,0.89
12.07.1,12.07,12,1,August_2015,C.fargesii,9,Shadow,0,,22.7,11,,,,,
12.08.0,12.08,12,0,July_2015,C.fargesii,9,Shadow,0,18.6,,5,,,,,
12.08.2,12.08,12,2,September_2015,C.fargesii,9,Shadow,0,13.5,13.5,10,9,0,10,,
12.08.3,12.08,12,3,September_2016,C.fargesii,9,Shadow,0,24.5,,22,21,,4,2.88,1.02
12.08.1,12.08,12,1,August_2015,C.fargesii,9,Shadow,0,,23.2,7,,,,,
12.09.0,12.09,12,0,July_2015,C.fargesii,9,Shadow,0,11,,8,,,,,
12.09.2,12.09,12,2,September_2015,C.fargesii,9,Shadow,0,18,18,7,6,0,5,,
12.09.1,12.09,12,1,August_2015,C.fargesii,9,Shadow,0,,13.5,6,,,,,
12.09.3,12.09,12,3,September_2016,C.fargesii,9,Shadow,0,45,,19,19,,3,2.23,0.54
13.01.2,13.01,13,2,September_2015,D.glaucifolia,25,Light,0,16.5,16.5,10,9,0,5,,
13.01.3,13.01,13,3,September_2016,D.glaucifolia,25,Light,0,53,,13,13,,10,6.31,4.41
13.01.0,13.01,13,0,July_2015,D.glaucifolia,25,Light,0,7.2,,7,,,,,
13.01.1,13.01,13,1,August_2015,D.glaucifolia,25,Light,0,,12,10,,,,,
13.02.0,13.02,13,0,July_2015,D.glaucifolia,25,Light,0,7.1,,7,,,,,
13.02.1,13.02,13,1,August_2015,D.glaucifolia,25,Light,0,,12.9,10,,,,,
13.02.3,13.02,13,3,September_2016,D.glaucifolia,25,Light,0,67,,38,38,,15,14.57,5.92
13.02.2,13.02,13,2,September_2015,D.glaucifolia,25,Light,0,17.6,17.6,14,12,0,5,,
13.03.0,13.03,13,0,July_2015,D.glaucifolia,25,Light,0,6.8,,6,,,,,
13.03.3,13.03,13,3,September_2016,D.glaucifolia,25,Light,0,100,,50,50,,12,21.73,8.81
13.03.2,13.03,13,2,September_2015,D.glaucifolia,25,Light,0,22.8,22.8,13,11,0,5,,
13.03.1,13.03,13,1,August_2015,D.glaucifolia,25,Light,0,,11.2,8,,,,,
13.04.0,13.04,13,0,July_2015,D.glaucifolia,25,Light,0,8.7,,7,,,,,
13.04.3,13.04,13,3,September_2016,D.glaucifolia,25,Light,0,63,,24,24,,20,8.67,4.64
13.04.2,13.04,13,2,September_2015,D.glaucifolia,25,Light,0,21.5,21.5,11,10,0,10,,
13.04.1,13.04,13,1,August_2015,D.glaucifolia,25,Light,0,,16.5,13,,,,,
13.05.0,13.05,13,0,July_2015,D.glaucifolia,25,Light,0,10,,9,,,,,
