country_name,country_iso3,year,indicator_name,indicator_code,value
Greenland,GRL,2016,Land area (sq. km),AG.LND.TOTL.K2,410450
Greenland,GRL,2015,Land area (sq. km),AG.LND.TOTL.K2,410450
Greenland,GRL,2014,Land area (sq. km),AG.LND.TOTL.K2,410450
Greenland,GRL,2013,Land area (sq. km),AG.LND.TOTL.K2,410450
Greenland,GRL,2012,Land area (sq. km),AG.LND.TOTL.K2,410450
Greenland,GRL,2011,Land area (sq. km),AG.LND.TOTL.K2,410450
Greenland,GRL,2010,Land area (sq. km),AG.LND.TOTL.K2,410450
Greenland,GRL,2009,Land area (sq. km),AG.LND.TOTL.K2,410450
Greenland,GRL,2008,Land area (sq. km),AG.LND.TOTL.K2,410450
Greenland,GRL,2007,Land area (sq. km),AG.LND.TOTL.K2,410450
Greenland,GRL,2006,Land area (sq. km),AG.LND.TOTL.K2,410450
Greenland,GRL,2005,Land area (sq. km),AG.LND.TOTL.K2,410450
Greenland,GRL,2004,Land area (sq. km),AG.LND.TOTL.K2,410450
Greenland,GRL,2003,Land area (sq. km),AG.LND.TOTL.K2,410450
Greenland,GRL,2002,Land area (sq. km),AG.LND.TOTL.K2,410450
Greenland,GRL,2001,Land area (sq. km),AG.LND.TOTL.K2,410450
Greenland,GRL,2000,Land area (sq. km),AG.LND.TOTL.K2,410450
Greenland,GRL,1999,Land area (sq. km),AG.LND.TOTL.K2,410450
Greenland,GRL,1998,Land area (sq. km),AG.LND.TOTL.K2,410450
Greenland,GRL,1997,Land area (sq. km),AG.LND.TOTL.K2,410450
Greenland,GRL,1996,Land area (sq. km),AG.LND.TOTL.K2,341700
Greenland,GRL,1995,Land area (sq. km),AG.LND.TOTL.K2,341700
Greenland,GRL,1994,Land area (sq. km),AG.LND.TOTL.K2,341700
Greenland,GRL,1993,Land area (sq. km),AG.LND.TOTL.K2,341700
Greenland,GRL,1992,Land area (sq. km),AG.LND.TOTL.K2,341700
Greenland,GRL,1991,Land area (sq. km),AG.LND.TOTL.K2,341700
Greenland,GRL,1990,Land area (sq. km),AG.LND.TOTL.K2,341700
Greenland,GRL,1989,Land area (sq. km),AG.LND.TOTL.K2,341700
Greenland,GRL,1988,Land area (sq. km),AG.LND.TOTL.K2,341700
Greenland,GRL,1987,Land area (sq. km),AG.LND.TOTL.K2,341700
Greenland,GRL,1986,Land area (sq. km),AG.LND.TOTL.K2,341700
Greenland,GRL,1985,Land area (sq. km),AG.LND.TOTL.K2,341700
Greenland,GRL,1984,Land area (sq. km),AG.LND.TOTL.K2,341700
Greenland,GRL,1983,Land area (sq. km),AG.LND.TOTL.K2,341700
Greenland,GRL,1982,Land area (sq. km),AG.LND.TOTL.K2,341700
Greenland,GRL,1981,Land area (sq. km),AG.LND.TOTL.K2,341700
Greenland,GRL,1980,Land area (sq. km),AG.LND.TOTL.K2,341700
Greenland,GRL,1979,Land area (sq. km),AG.LND.TOTL.K2,341700
Greenland,GRL,1978,Land area (sq. km),AG.LND.TOTL.K2,341700
Greenland,GRL,1977,Land area (sq. km),AG.LND.TOTL.K2,341700
Greenland,GRL,1976,Land area (sq. km),AG.LND.TOTL.K2,341700
Greenland,GRL,1975,Land area (sq. km),AG.LND.TOTL.K2,341700
Greenland,GRL,1974,Land area (sq. km),AG.LND.TOTL.K2,341700
Greenland,GRL,1973,Land area (sq. km),AG.LND.TOTL.K2,341700
Greenland,GRL,1972,Land area (sq. km),AG.LND.TOTL.K2,341700
Greenland,GRL,1971,Land area (sq. km),AG.LND.TOTL.K2,341700
Greenland,GRL,1970,Land area (sq. km),AG.LND.TOTL.K2,341700
Greenland,GRL,1969,Land area (sq. km),AG.LND.TOTL.K2,341700
Greenland,GRL,1968,Land area (sq. km),AG.LND.TOTL.K2,341700
Greenland,GRL,1967,Land area (sq. km),AG.LND.TOTL.K2,341700
Greenland,GRL,1966,Land area (sq. km),AG.LND.TOTL.K2,341700
Greenland,GRL,1965,Land area (sq. km),AG.LND.TOTL.K2,341700
Greenland,GRL,1964,Land area (sq. km),AG.LND.TOTL.K2,341700
