CSP,target_group,fct_gr,species,silverID,dbh_08,tot_hi,bifurcat,st_incl,stem_azi,stem_azi_grad,stem_azi_rad,mean_rad,cr_a,ad,CI_BD,CI_H,CI_ME,n_neigh,area_neigh,neigh_a,loc_asp,loc_asp_grad,loc_incl,n_sp_neigh,rat_e,age_pl,incl_pl,rare_s,rare_s_se,shannon,rare_fg,rare_fg_se,rd,can_hi,mean_can_hi
CSP21,CSP_21Ch,d,Castanea henryi,372684,18.9,14.3,6,3.8253875549211407,390,351,6.126105674500097,2.075,15.019352265299165,0.6200827981503756,0.3762285377054865,0.5136162817330516,0.41572434301416805,3,136.84777599037136,0.02192216846995804,50,45,40,3,1,5,40,1.83333333333333,0.372677996249965,1.386,1.5,0.5,0.2988350834459641,17.9,15.43
CSP21,CSP_21Qs,d,Quercus serrata,369961,37.9,7.5,4.4,23.308522124973283,60,54,0.9424777960769379,2.6375,27.927620725665875,0.017820489875381137,0.9575559210818694,0.8587182294986402,1.3397607878987547,3,145.267244301992,0.02065159296175113,100,90,40,3,0.6666666666666666,5,40,1.72222222222222,0.447903208238808,1.386,1.55555555555556,0.496903994999953,0.006756583839007066,13.4,15.43
CSP21,CSP_21Ss,e,Schima superba,375637,41.5,15.1,6.3,1.8195249218674643,20,18,0.3141592653589793,1.9875,15.178173957584379,2.1189934590918096,0.6196764264256917,0.8873536690535584,1.4605590702447846,3,98.5203456165759,0.030450563091561612,100,90,40,3,0.8,5,40,2,1.05367121277235e-08,1.04,2,1.05367121277235e-08,1.06616023098959,15.1,15.43
CSP22,CSP_22Ch,d,Castanea henryi,375669,4.4,6.4,3.5,-3.2776127901418897,130,117,2.0420352248333655,0.7375,2.386531652100056,0.2813183178392302,1.2140477098443558,1.765945712829683,0.35327493540754534,4,24.630086404143974,0.16240300315499528,30,27,38,3,0.2,1,38,1.77272727272727,0.419070202604219,0.95,1.53030303030303,0.499080881575775,0.3814485665616681,7.9,11.866666666666667
CSP22,CSP_22Qs,d,Quercus serrata,370364,6.366666666666667,9.5,1.5,11.614429499593987,50,45,0.7853981633974483,1.5375,7.56969433335674,0.3985922318828869,10.379107688646801,3.5151735141039704,0.26646389033352885,11,66.47610054996001,0.165473003214636,50,45,38,4,0,1,38,1.83333333333333,0.372677996249965,1.286,1.83333333333333,0.372677996249965,0.25924698008643055,12.6,8
CSP22,CSP_22Ss,e,Schima superba,370581,3.3,3.5,0.3,19.83886702838007,90,81,1.413716694115407,1,2.906194563108576,0.009758214696380845,2.5596067817655084,2.15634567740562,0.31283826413681987,3,7.0685834705770345,0.4244131815783876,140,126,16,2,0.6666666666666666,1,38,1.7,0.458257569495583,1.04,1.4,0.489897948556636,0.009758214696380847,3.5,8
CSP23,CSP_23Ch,d,Castanea henryi,376102,9.5,10,4.8,14.630014418727331,290,261,4.5553093477052,0.5,2.611269837220809,2.421878944642504,19.289434484988707,8.387171088800105,3.090205077839344,16,58.08804816487527,0.2754439253077691,320,288,31,7,1,2,35,1.86147186147187,0.345453460489426,1.646,1.3982683982684,0.489541296735144,1.4039877939956547,13.066666666666668,8.283333333333335
CSP23,CSP_23Ss,e,Schima superba,376789,9.5,10.8,5.5,5.74875324932539,300,270,4.71238898038469,1.475,6.505410025656894,0.09177318263629887,14.19418418054266,10.756185508318943,1.4832199811850049,21,91.60884177867838,0.22923551474141302,320,288,23,10,0.8260869565217391,2,35,1.80882352941177,0.393227704621232,1.922,1.32352941176471,0.467822756487848,0.062219106872067026,12.25,12.66
CSP24,CSP_24Ce,e,Castanopsis eyrei,370999,10.4,7.5,1.4,16.83071324703934,360,324,5.654866776461628,1.1875,5.002849058626776,0.2826735786511399,21.092658508370533,6.732176642367201,2.124257141341991,10,30.190705400997917,0.3312277691818841,380,342,38,5,0.8,1,42,1.7,0.458257569495583,1.642,1.4,0.489897948556636,0.23804090833780203,8.45,10.35
CSP24,CSP_24Ss,e,Schima superba,370102,10.4,7.5,4,1.4326929779681128,390,351,6.126105674500097,0.95,3.4436491675780263,0.10296860868119859,0.29549764244903803,1.634324441825426,0.2563999417676191,4,32.169908772759484,0.12433979929054323,390,351,41,4,1,1,42,1.85454545454546,0.352558535084832,0.95,1.70909090909091,0.454181672610794,0.1083880091381038,7.5,7.98
