id,site,PTAG,PR,NR,species,branchNR,WD,LA,SLA,CHL,LN,LP,LC,SD,SA,O1_D,O1_SRL,BA13,BA14,BA15,BA16,BA17,BA18
ind28,A,p106270,4,3,SP27,4,0.543,13.612,147.794,44.5,22.47,0.74,463.79,827,88.57488794,0.465,81.624,2.83528737,5.107051557,5.107051557,6.605198554,6.157521601,7.793113276
ind280,A,p120150,8,5,SP25,7,0.515,9.193,78.296,42.4,18.39,0.81,464.21,NA,NA,0.226,49.966,2.544690049,3.300635782,3.976078202,3.63050301,4.908738521,2.83528737
ind281,A,p120150,8,3,SP15,5,0.366,4.631,178.096,46.9,34.92,1.76,461.76,622,85.78433371,NA,NA,5.309291585,6.157521601,8.814130889,6.95126462,8.042477193,9.079202769
ind282,A,p120150,8,4,SP28,11,0.431,11.963,72.492,39.8,16.47,0.81,497.96,NA,NA,0.252,45.148,23.32828895,26.87828865,25.51758633,24.6300864,NA,
ind283,A,p120150,8,5,SP9,11,0.596,NA,NA,43.3,16.56,0.69,460.28,676,87.26229755,0.214,47.824,13.8544236,15.20530844,27.80505848,29.70572204,59.44678699,75.42963961
ind284,A,p120150,8,5,SP5,8,0.574,6.694,71.174,34.4,11.47,0.42,431.04,NA,NA,0.225,51.895,1.767145868,2.269800692,4.523893421,7.068583471,12.56637061,12.56637061
ind285,A,p120150,8,6,SP5,17,0.484,12.063,81.023,46.1,16.09,0.69,448.34,NA,NA,0.223,39.341,5.939573611,12.25417484,17.72054606,20.83072279,25.51758633,31.17245311
ind286,A,p120150,8,6,SP5,15,0.51,8.151,75.19,45,16,0.48,458.41,521,147.08763,0.224,44.072,2.269800692,3.300635782,14.86169675,15.20530844,16.61902514,20.42820623
ind287,A,p120150,8,6,SP25,11,0.573,9.26,67.481,42.4,23.24,0.76,452.87,1073,95.26716359,0.236,37.733,2.544690049,5.107051557,5.515458602,4.908738521,4.523893421,
ind288,A,p120150,8,6,SP9,7,0.593,9.079,57.521,41.4,15.49,0.68,444.96,575,64.55596854,0.235,35.938,3.463605901,5.725552611,10.1787602,9.897980354,12.56637061,16.61902514
ind289,A,p120150,8,5,SP17,18,0.603,12.356,72.312,43.6,13.78,0.64,485.75,NA,NA,0.237,32.386,15.20530844,19.63495408,43.00840343,47.78362426,81.71282492,86.59014751
ind29,A,p106270,4,3,SP8,23,0.403,14.131,121.111,62.9,19.67,0.72,432.31,405,70.98136747,0.501,55.307,73.89811319,88.24733764,121.7386788,128.6796351,243.2849351,286.521104
ind290,A,p120150,8,5,SP17,11,0.536,10.305,60.377,46.4,17.61,0.53,511.7,NA,NA,0.246,40.036,2.544690049,4.523893421,8.042477193,12.56637061,15.90431281,19.63495408
ind291,A,p120150,8,4,SP28,7,0.43,NA,NA,35.5,16.85,0.86,476.5,NA,NA,0.253,34.268,14.18625433,9.897980354,10.1787602,10.46346703,NA,
ind292,A,p120150,8,4,SP30,29,0.523,13.904,61.309,35.9,20.01,0.66,465.26,411,NA,0.223,38.95,14.52201204,34.211944,50.26548246,64.32607308,78.53981634,73.89811319
ind293,A,p120150,8,5,SP17,16,0.612,6.409,47.796,40.3,14.02,0.43,509.77,NA,NA,0.242,31.191,2.269800692,3.463605901,5.107051557,5.725552611,5.725552611,7.068583471
ind294,A,p120150,8,5,SP30,45,0.526,9.581,48.639,46.4,17.88,0.62,467.42,323,126.0706445,0.209,46.095,61.51434765,84.13381476,134.7821788,163.9931,283.528737,346.3605901
ind295,A,p120150,8,5,SP9,23,0.656,8.412,53.678,42.4,16.6,0.46,471.92,722,123.0978488,0.23,38.778,8.042477193,11.64156428,13.20254313,15.20530844,18.09557368,23.75829444
ind296,A,p123140,1,1,SP23,11,0.412,27.547,165.991,49.2,20.01,0.94,436.6,241,139.2541009,0.371,10.632,8.295768101,15.90431281,17.72054606,25.51758633,19.63495408,21.64753688
ind297,A,p123140,1,1,SP23,12,0.481,27.68,193.36,47.4,19.98,0.95,419.71,160,207.6366549,0.353,12.872,10.75210086,15.55284713,19.2442185,23.75829444,32.16990877,37.39280656
ind298,A,p123140,1,1,SP23,26,0.503,27.005,135.626,40,18.83,0.89,421.17,212,210.845751,0.315,12.999,18.4745283,33.69554471,41.85386813,59.44678699,66.47610055,83.32289115
