objectid,tree_id,address,species,com_name,dbh,height,condition,land_type,park_name,x,y
1443,2930,600 E 12TH ST,Sophora secundiflora,Texas Mountain Laurel,12,12,Fair,ROW,,3116815.60761,10072316.3894
1444,2931,600 E 12TH ST,Sophora secundiflora,Texas Mountain Laurel,9,12,Fair,ROW,,3116826.30411,10072320.2791
1445,2932,600 E 12TH ST,Sophora secundiflora,Texas Mountain Laurel,9,12,Fair,ROW,,3116838.94549,10072313.4721
1446,2933,600 E 12TH ST,Sophora secundiflora,Texas Mountain Laurel,9,12,Fair,ROW,,3116850.61443,10072305.6929
1447,2934,600 E 12TH ST,Sophora secundiflora,Texas Mountain Laurel,10,12,Fair,ROW,,3116863.25581,10072312.4999
1448,2935,600 E 12TH ST,Pistacia chinensis,Chinese Pistache,7,16,Fair,ROW,,3116872.98020,10072304.7204
1449,2936,600 E 12TH ST,Pistacia chinensis,Chinese Pistache,10,16,Fair,ROW,,3116889.51101,10072298.8861
1450,2937,600 E 12TH ST,Pistacia chinensis,Chinese Pistache,6,16,Fair,ROW,,3116908.95946,10072294.9964
1451,2938,600 E 12TH ST,Quercus virginiana,Southern Live Oak,6,25,Fair,ROW,,3116928.40758,10072283.3274
1452,2939,600 E 12TH ST,Quercus virginiana,Southern Live Oak,7,25,Fair,ROW,,3116949.80091,10072283.3274
1453,2940,600 E 12TH ST,Quercus virginiana,Southern Live Oak,6,25,Fair,ROW,,3116965.35961,10072274.5755
1454,2941,700 E 12TH ST,Taxodium distichum,Bald Cypress,7,23,Fair,ROW,,3117277.17854,10072195.0756
1455,2942,700 E 12TH ST,Taxodium distichum,Bald Cypress,6,23,Fair,ROW,,3117243.74422,10072201.8863
1456,2943,700 E 12TH ST,Taxodium distichum,Bald Cypress,7,23,Fair,ROW,,3117209.69049,10072212.4119
1457,2944,700 E 12TH ST,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3117145.87073,10072229.6156
1458,2945,700 E 12TH ST,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3117158.89859,10072225.4739
1459,2946,700 E 12TH ST,Quercus virginiana,Southern Live Oak,7,18,Good,ROW,,3117148.39402,10072269.9935
1460,2947,700 E 12TH ST,Quercus virginiana,Southern Live Oak,7,18,Good,ROW,,3117219.59696,10072252.6572
1461,2948,700 E 12TH ST,Quercus virginiana,Southern Live Oak,7,18,Good,ROW,,3117308.13648,10072228.5100
1462,2951,1200 TRINITY ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),8,10,Fair,ROW,,3116042.57930,10072641.4878
1463,2952,1200 TRINITY ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),10,12,Fair,ROW,,3116051.24759,10072668.7309
1464,2953,1200 TRINITY ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),10,12,Fair,ROW,,3116059.60617,10072692.2587
1465,2954,1200 TRINITY ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),10,12,Fair,ROW,,3116065.79776,10072711.4526
1466,2955,1200 TRINITY ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),10,12,Fair,ROW,,3116071.98935,10072731.8846
1467,2956,1200 TRINITY ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),10,12,Fair,ROW,,3116078.18094,10072752.3170
1468,2957,1200 TRINITY ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),10,12,Fair,ROW,,3116082.51492,10072771.5108
1469,2958,1200 TRINITY ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),10,12,Fair,ROW,,3116086.84890,10072790.0856
1470,2959,1200 TRINITY ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),10,12,Fair,ROW,,3116090.56412,10072808.0410
1471,2960,1200 TRINITY ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),10,12,Fair,ROW,,3116094.89810,10072827.2348
1472,2961,1200 TRINITY ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),10,12,Fair,ROW,,3116100.47059,10072847.0481
1473,2962,1200 TRINITY ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),10,12,Fair,ROW,,3116106.66218,10072870.5759
1474,2963,1200 TRINITY ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),10,12,Fair,ROW,,3116112.85377,10072890.3889
1475,2964,1200 TRINITY ST,Vacant Planting Site - Medium,Vacant Planting Site - Medium,0,0,NA,ROW,,3116119.04536,10072913.9171
1476,2966,1300 TRINITY ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),9,25,Fair,ROW,,3116185.91432,10073118.2388
1477,2967,1300 TRINITY ST,Quercus shumardii,Shumard Oak,12,26,Poor,ROW,,3116194.58228,10073144.2434
1478,2968,300 E 15TH ST,Carya illinoinensis,Pecan,23,35,Poor,ROW,,3116321.14371,10073738.2172
1484,2975,1117 RED RIVER ST,Carya illinoinensis,Pecan,23,40,Poor,Private,,3116819.31200,10072260.0870
