TAG,PTAG,ALTITUDE,SLOPE,SpeciesCode,PSI50,SAWP,NCI,nb_count,nb_richness,nb_mix,SPEI_12_Oct,Initial_year
t124130010809,p124130,246.18,43.09,14,-4.389755639,1.9377943566259606,0.1773944305527876,6,1,11_14,1.58454,2014
t124130010809,p124130,246.18,43.09,14,-4.389755639,0.7208815987653556,0.19405379197743064,6,1,11_14,1.38172,2015
t124130010808,p124130,246.33,42.03,11,-5.094034031,3.630203563369914,0.06557377141568041,5,1,11_14,-1.51947,2010
t124130010808,p124130,246.33,42.03,11,-5.094034031,3.444025768982815,0.10526315795351983,5,1,11_14,1.44876,2011
t124130010808,p124130,246.33,42.03,11,-5.094034031,1.1878671620711623,0.19768339757634693,6,1,11_14,-0.29015,2012
t124130010808,p124130,246.33,42.03,11,-5.094034031,1.9384238723986025,0.1064373297060404,6,1,11_14,0.67536,2013
t124130010808,p124130,246.33,42.03,11,-5.094034031,1.3723322369055848,0.14762593396294155,6,1,11_14,1.58454,2014
t124130010808,p124130,246.33,42.03,11,-5.094034031,2.2311369536331767,0.14527638030481443,6,1,11_14,1.38172,2015
t123140010911,p123140,234.3,30.7,20,-3.542856101,1.2706548535027375,0.13408820028377946,8,0,20,-1.51947,2010
t123140010911,p123140,234.3,30.7,20,-3.542856101,1.3305302354435056,0.3433936955350943,7,0,20,1.44876,2011
t123140010911,p123140,234.3,30.7,20,-3.542856101,0.5557812766425574,0.29169003028033075,6,0,20,-0.29015,2012
t123140010911,p123140,234.3,30.7,20,-3.542856101,1.0260564863113082,0.2751024246986751,6,0,20,0.67536,2013
t123140010911,p123140,234.3,30.7,20,-3.542856101,0.3713264889895878,0.27798682493998444,6,0,20,1.58454,2014
t123140010911,p123140,234.3,30.7,20,-3.542856101,1.275511098334929,0.24523222464620886,6,0,20,1.38172,2015
t123140010910,p123140,234.41,31.48,20,-3.542856101,1.6965322576306034,0.0974235105005827,6,0,20,-1.51947,2010
t123140010910,p123140,234.41,31.48,20,-3.542856101,2.0567074501717264,0.19191118161835802,5,0,20,1.44876,2011
t123140010910,p123140,234.41,31.48,20,-3.542856101,0.5629907240842486,0.19689320396932988,5,0,20,-0.29015,2012
t123140010910,p123140,234.41,31.48,20,-3.542856101,0.32926980834042907,0.19681165119151844,5,0,20,0.67536,2013
t123140010910,p123140,234.41,31.48,20,-3.542856101,1.273048591674803,0.1236312981771771,5,0,20,1.58454,2014
t123140010910,p123140,234.41,31.48,20,-3.542856101,1.3820642336528672,0.17790316402792258,5,0,20,1.38172,2015
t123140010908,p123140,234.66,34.04,20,-3.542856101,0.8648149965387222,0.1300000000391766,6,0,20,-1.51947,2010
t123140010908,p123140,234.66,34.04,20,-3.542856101,0.9715028860274026,0.19184652276976627,6,0,20,1.44876,2011
t123140010908,p123140,234.66,34.04,20,-3.542856101,0.4142453872858381,0.1647240315431806,6,0,20,-0.29015,2012
t123140010908,p123140,234.66,34.04,20,-3.542856101,0.7208012606158627,0.13301916587732598,6,0,20,0.67536,2013
t123140010908,p123140,234.66,34.04,20,-3.542856101,1.8093354991231514,0.0916040244983127,6,0,20,1.58454,2014
t123140010908,p123140,234.66,34.04,20,-3.542856101,1.3964758683916898,0.09950758920393034,6,0,20,1.38172,2015
t123130011110,p123130,224.2,44.66,21,-4.321994171,0.02463611199511944,0.8778089887833843,4,0,21,-1.51947,2010
t123130011110,p123130,224.2,44.66,21,-4.321994171,0.237886007200526,3.1249999994429576,2,0,21,1.44876,2011
t123130011110,p123130,224.2,44.66,21,-4.321994171,0.43366625799023684,1.595015576290007,3,0,21,-0.29015,2012
t123130011110,p123130,224.2,44.66,21,-4.321994171,0.43038229063698435,2.0299194472767796,3,0,21,0.67536,2013
t123130011110,p123130,224.2,44.66,21,-4.321994171,2.734039061002946,1.0442979566876531,2,0,21,1.58454,2014
t123130011110,p123130,224.2,44.66,21,-4.321994171,1.2687789075855769,1.7875529112456274,2,0,21,1.38172,2015
t123130011009,p123130,224.88,44.56,21,-4.321994171,0.027715625999725723,0.05621135465249205,7,0,21,-1.51947,2010
t123130011009,p123130,224.88,44.56,21,-4.321994171,0.8027385582906036,0.05434782604634042,7,0,21,1.44876,2011
t123130011009,p123130,224.88,44.56,21,-4.321994171,0.08024123003327811,0.06140561285154037,8,0,21,-0.29015,2012
t123130011009,p123130,224.88,44.56,21,-4.321994171,1.8564871738508337,0.049433397469695065,7,0,21,0.67536,2013
